image_id,subject_id,eye,image_index,original_filename,relative_path,width,height,is_corrupt,blur_flag,occlusion_flag,notes,split,pilot_annotation,pilot_annotation_notes,pilot_flag,pilot_role,pilot_notes
CASIA_001_L_01,1,L,1,S1001L01.jpg,001/L/S1001L01.jpg,320,280,0,0,0,,train,,,True,observation,v0.4 pilot — excluded from training
CASIA_001_L_02,1,L,2,S1001L02.jpg,001/L/S1001L02.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_03,1,L,3,S1001L03.jpg,001/L/S1001L03.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_04,1,L,4,S1001L04.jpg,001/L/S1001L04.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_05,1,L,5,S1001L05.jpg,001/L/S1001L05.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_06,1,L,6,S1001L06.jpg,001/L/S1001L06.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_07,1,L,7,S1001L07.jpg,001/L/S1001L07.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_08,1,L,8,S1001L08.jpg,001/L/S1001L08.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_09,1,L,9,S1001L09.jpg,001/L/S1001L09.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_L_10,1,L,10,S1001L10.jpg,001/L/S1001L10.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_01,1,R,1,S1001R01.jpg,001/R/S1001R01.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_02,1,R,2,S1001R02.jpg,001/R/S1001R02.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_03,1,R,3,S1001R03.jpg,001/R/S1001R03.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_04,1,R,4,S1001R04.jpg,001/R/S1001R04.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_05,1,R,5,S1001R05.jpg,001/R/S1001R05.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_06,1,R,6,S1001R06.jpg,001/R/S1001R06.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_07,1,R,7,S1001R07.jpg,001/R/S1001R07.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_08,1,R,8,S1001R08.jpg,001/R/S1001R08.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_09,1,R,9,S1001R09.jpg,001/R/S1001R09.jpg,320,280,0,0,0,,train,,,,,
CASIA_001_R_10,1,R,10,S1001R10.jpg,001/R/S1001R10.jpg,320,280,0,0,0,,train,,,,,
CASIA_002_L_01,2,L,1,S1002L01.jpg,002/L/S1002L01.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_02,2,L,2,S1002L02.jpg,002/L/S1002L02.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_03,2,L,3,S1002L03.jpg,002/L/S1002L03.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_04,2,L,4,S1002L04.jpg,002/L/S1002L04.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_05,2,L,5,S1002L05.jpg,002/L/S1002L05.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_06,2,L,6,S1002L06.jpg,002/L/S1002L06.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_07,2,L,7,S1002L07.jpg,002/L/S1002L07.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_08,2,L,8,S1002L08.jpg,002/L/S1002L08.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_09,2,L,9,S1002L09.jpg,002/L/S1002L09.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_L_10,2,L,10,S1002L10.jpg,002/L/S1002L10.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_01,2,R,1,S1002R01.jpg,002/R/S1002R01.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_02,2,R,2,S1002R02.jpg,002/R/S1002R02.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_03,2,R,3,S1002R03.jpg,002/R/S1002R03.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_04,2,R,4,S1002R04.jpg,002/R/S1002R04.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_05,2,R,5,S1002R05.jpg,002/R/S1002R05.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_06,2,R,6,S1002R06.jpg,002/R/S1002R06.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_07,2,R,7,S1002R07.jpg,002/R/S1002R07.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_08,2,R,8,S1002R08.jpg,002/R/S1002R08.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_09,2,R,9,S1002R09.jpg,002/R/S1002R09.jpg,320,280,0,0,0,,test,,,,,
CASIA_002_R_10,2,R,10,S1002R10.jpg,002/R/S1002R10.jpg,320,280,0,0,0,,test,,,,,
CASIA_003_R_01,3,R,1,S1003R01.jpg,003/R/S1003R01.jpg,320,280,0,0,0,,train,,,True,observation,v0.4 pilot — excluded from training
CASIA_003_R_02,3,R,2,S1003R02.jpg,003/R/S1003R02.jpg,320,280,0,0,0,,train,,,,,
